Track
x: -1475, y: 4241
x: -1342, y: 4193
x: -311, y: 3688
x: -193, y: 3605
x: -84, y: 3527
x: 393, y: 3160
x: 514, y: 3053
x: 622, y: 2952
x: 153, y: 3352
x: 269, y: 3262
x: 26, y: 3447
x: -618, y: 3875
x: -511, y: 3816
x: -822, y: 3981
x: -1076, y: 4079
x: -963, y: 4032
x: 865, y: 2710
x: 991, y: 2581
x: 1131, y: 2435
x: 1263, y: 2298
x: 1522, y: 2023
x: 1731, y: 1799
x: 1945, y: 1568
x: 2096, y: 1402
x: 2209, y: 1275
x: 2380, y: 1080
x: 2497, y: 950
x: 2732, y: 709
x: 2945, y: 542
x: 3063, y: 480
x: 3256, y: 390
x: 3440, y: 273
x: 3560, y: 168
x: 3661, y: 48
x: 3752, y: -102
x: 3815, y: -234
x: 3926, y: -557
x: 3971, y: -813
x: 3992, y: -943
x: 4116, y: -1310
x: 4189, y: -1446
x: 4272, y: -1587
x: 4432, y: -1840
x: 4507, y: -1952
x: 4669, y: -2170
x: 4844, y: -2401
x: 4980, y: -2586
x: 5099, y: -2749
x: 5236, y: -2937
x: 5440, y: -3232
x: 5534, y: -3377
x: 5649, y: -3564
x: 5771, y: -3785
x: 5877, y: -3999
x: 5942, y: -4144
x: 5991, y: -4261
x: 6047, y: -4411
x: 6115, y: -4607
x: 6165, y: -4760
x: 6211, y: -4897
x: 6247, y: -5005
x: 6323, y: -5236
x: 6416, y: -5514
x: 6457, y: -5639
x: 6530, y: -5857
x: 6587, y: -6029
x: 6640, y: -6189
x: 6719, y: -6425
x: 6830, y: -6757
x: 6931, y: -7059
x: 7012, y: -7298
x: 7065, y: -7458
x: 7114, y: -7602
x: 7201, y: -7859
x: 7249, y: -8004
x: 7293, y: -8133
x: 7363, y: -8342
x: 7407, y: -8471
x: 7477, y: -8679
x: 7519, y: -8804
x: 7576, y: -8973
x: 7706, y: -9360
x: 7756, y: -9507
x: 7790, y: -9608
x: 7856, y: -9806
x: 7912, y: -9979
x: 7966, y: -10145
x: 8022, y: -10311
x: 8073, y: -10459
x: 8119, y: -10593
x: 8167, y: -10735
x: 8215, y: -10886
x: 8260, y: -11035
x: 8300, y: -11220
x: 8312, y: -11339
x: 8309, y: -11441
x: 8287, y: -11545
x: 8229, y: -11672
x: 8126, y: -11806
x: 8030, y: -11909
x: 7827, y: -12189
x: 7796, y: -12324
x: 7793, y: -12453
x: 7813, y: -12599
x: 7890, y: -12840
x: 7960, y: -13028
x: 8007, y: -13169
x: 8042, y: -13347
x: 8023, y: -13597
x: 7961, y: -13764
x: 7874, y: -13912
x: 7701, y: -14096
x: 7538, y: -14216
x: 7351, y: -14343
x: 7231, y: -14424
x: 7127, y: -14496
x: 7011, y: -14577
x: 6884, y: -14669
x: 6735, y: -14780
x: 6613, y: -14871
x: 6512, y: -14948
x: 6364, y: -15062
x: 6249, y: -15152
x: 6023, y: -15328
x: 5904, y: -15421
x: 5761, y: -15519
x: 5571, y: -15632
x: 5470, y: -15687
x: 5335, y: -15747
x: 5170, y: -15769
x: 5048, y: -15749
x: 4931, y: -15694
x: 4795, y: -15557
x: 4743, y: -15454
x: 4720, y: -15327
x: 4736, y: -15187
x: 4774, y: -15079
x: 4864, y: -14939
x: 4978, y: -14825
x: 5124, y: -14713
x: 5244, y: -14637
x: 5418, y: -14541
x: 5543, y: -14475
x: 5716, y: -14375
x: 5969, y: -14160
x: 6067, y: -14012
x: 6126, y: -13743
x: 6118, y: -13606
x: 6086, y: -13447
x: 6038, y: -13295
x: 5998, y: -13192
x: 5948, y: -13072
x: 5868, y: -12884
x: 5808, y: -12739
x: 5744, y: -12581
x: 5684, y: -12427
x: 5646, y: -12323
x: 5607, y: -12206
x: 5559, y: -12050
x: 5510, y: -11873
x: 5462, y: -11689
x: 5424, y: -11530
x: 5394, y: -11407
x: 5352, y: -11223
x: 5326, y: -11099
x: 5302, y: -10985
x: 5228, y: -10638
x: 5205, y: -10526
x: 5181, y: -10413
x: 5137, y: -10209
x: 5097, y: -10029
x: 5059, y: -9858
x: 5012, y: -9647
