Track
x: -6449, y: -9630
x: -6457, y: -9529
x: -6466, y: -9421
x: -6484, y: -9304
x: -7062, y: -8185
x: -7098, y: -8057
x: -7135, y: -7925
x: -7175, y: -7779
x: -7213, y: -7633
x: -7236, y: -7521
x: -7261, y: -7412
x: -7306, y: -7303
x: -7371, y: -7171
x: -7442, y: -7031
x: -7478, y: -6927
x: -7512, y: -6809
x: -7554, y: -6700
x: -7601, y: -6581
x: -7628, y: -6418
x: -7637, y: -6304
x: -7642, y: -6166
x: -7635, y: -5991
x: -7623, y: -5855
x: -7605, y: -5679
x: -7556, y: -5436
x: -7503, y: -5260
x: -7459, y: -5150
x: -7400, y: -5026
x: -7286, y: -4812
x: -7183, y: -4697
x: -7058, y: -4626
x: -6913, y: -4588
x: -6531, y: -4547
x: -6359, y: -4515
x: -6182, y: -4475
x: -5974, y: -4424
x: -5713, y: -4359
x: -5481, y: -4299
x: -5258, y: -4246
x: -5040, y: -4212
x: -4848, y: -4196
x: -4634, y: -4162
x: -4518, y: -4126
x: -4414, y: -4082
x: -4310, y: -4030
x: -4104, y: -3927
x: -3938, y: -3857
x: -3791, y: -3807
x: -3603, y: -3761
x: -3394, y: -3727
x: -3245, y: -3710
x: -3117, y: -3694
x: -3005, y: -3677
x: -2797, y: -3624
x: -2546, y: -3495
x: -2374, y: -3323
x: -2301, y: -3181
x: -2265, y: -3013
x: -2268, y: -2862
x: -2291, y: -2740
x: -2341, y: -2606
x: -2407, y: -2485
x: -2512, y: -2338
x: -2614, y: -2216
x: -2710, y: -2073
x: -2747, y: -1905
x: -2730, y: -1801
x: -2626, y: -1576
x: -2508, y: -1417
x: -2328, y: -1216
x: -2179, y: -1034
x: -2042, y: -833
x: -1910, y: -648
x: -1801, y: -509
x: -1684, y: -370
x: -1560, y: -244
x: -1443, y: -198
x: -1335, y: -235
x: -1236, y: -369
x: -1199, y: -507
x: -1165, y: -624
x: -1108, y: -776
x: -1057, y: -887
x: -958, y: -1040
x: -811, y: -1131
x: -734, y: -1015
x: -774, y: -914
x: -871, y: -797
x: -986, y: -669
x: -1024, y: -501
x: -915, y: -354
x: -766, y: -273
x: -594, y: -205
x: -464, y: -173
x: -334, y: -179
x: -232, y: -293
x: -195, y: -426
x: -186, y: -539
x: -186, y: -641
x: -197, y: -783
x: -211, y: -912
x: -226, y: -1051
x: -241, y: -1188
x: -257, y: -1336
x: -274, y: -1498
x: -286, y: -1600
x: -317, y: -1772
x: -345, y: -1881
x: -377, y: -1986
x: -416, y: -2104
x: -508, y: -2353
x: -552, y: -2462
