Track
x: -127, y: 3584
x: -241, y: 3670
x: -376, y: 3808
x: -560, y: 3989
x: -680, y: 4064
x: -783, y: 4087
x: -885, y: 4071
x: -988, y: 4005
x: -1060, y: 3899
x: -1101, y: 3791
x: -1127, y: 3681
x: -1144, y: 3573
x: -1153, y: 3398
x: -1146, y: 3257
x: -1129, y: 3128
x: -1104, y: 3012
x: -1066, y: 2877
x: -1005, y: 2707
x: -937, y: 2536
x: -882, y: 2406
x: -781, y: 2165
x: -705, y: 1978
x: -639, y: 1801
x: -568, y: 1584
x: -537, y: 1471
x: -501, y: 1318
x: -482, y: 1208
x: -461, y: 1029
x: -455, y: 866
x: -477, y: 628
x: -530, y: 481
x: -745, y: 282
x: -899, y: 225
x: -1076, y: 185
x: -1180, y: 171
x: -1355, y: 158
x: -1472, y: 155
x: -1583, y: 157
x: -1892, y: 181
x: -2027, y: 193
x: -2363, y: 224
x: -2660, y: 249
x: -2776, y: 258
x: -2960, y: 273
x: -3161, y: 288
x: -3552, y: 318
x: -3778, y: 336
x: -3895, y: 346
x: -4058, y: 359
x: -4436, y: 390
x: -4697, y: 416
x: -4820, y: 432
x: -4944, y: 451
x: -5221, y: 512
x: -5462, y: 593
x: -5625, y: 665
x: -5870, y: 793
x: -6027, y: 884
x: -6182, y: 977
x: -6338, y: 1071
x: -6611, y: 1238
x: -6890, y: 1409
x: -7097, y: 1544
x: -7230, y: 1630
x: -7358, y: 1715
x: -7472, y: 1791
x: -7575, y: 1860
x: -7722, y: 1960
x: -7907, y: 2056
x: -8048, y: 2109
x: -8231, y: 2145
x: -8356, y: 2134
x: -8476, y: 2081
x: -8585, y: 1989
x: -8691, y: 1866
x: -8772, y: 1757
x: -8869, y: 1614
x: -8956, y: 1469
x: -9019, y: 1340
x: -9107, y: 1149
x: -9312, y: 707
x: -9403, y: 587
x: -9522, y: 525
x: -9632, y: 550
x: -9737, y: 624
x: -9868, y: 760
x: -9956, y: 872
x: -10084, y: 1040
x: -10198, y: 1178
x: -10330, y: 1323
x: -10444, y: 1435
x: -10613, y: 1557
x: -10783, y: 1630
x: -10896, y: 1656
x: -11058, y: 1643
x: -11383, y: 1408
x: -11460, y: 1302
x: -11529, y: 1195
x: -11628, y: 1022
x: -11725, y: 833
x: -11792, y: 689
x: -11860, y: 549
x: -11958, y: 359
x: -12013, y: 256
x: -12117, y: 70
x: -12188, y: -51
x: -12246, y: -152
x: -12388, y: -397
