Track
x: -1640, y: 13, z: 2388
x: -1747, y: 101, z: 2389
x: -1937, y: 257, z: 2388
x: -2096, y: 387, z: 2388
x: -2356, y: 601, z: 2388
x: -2607, y: 807, z: 2388
x: -2746, y: 922, z: 2388
x: -2875, y: 1027, z: 2388
x: -3146, y: 1250, z: 2388
x: -3277, y: 1357, z: 2388
x: -3514, y: 1552, z: 2386
x: -3708, y: 1712, z: 2382
x: -3880, y: 1853, z: 2378
x: -4082, y: 2015, z: 2372
x: -4272, y: 2164, z: 2366
x: -4409, y: 2271, z: 2362
x: -4668, y: 2476, z: 2356
x: -4218, y: 2251, z: 0
x: -4302, y: 2294, z: 0
x: -4379, y: 2335, z: 0
x: -4451, y: 2376, z: 0
x: -4514, y: 2413, z: 0
x: -4611, y: 2472, z: 0
x: -4696, y: 2529, z: 0
x: -4788, y: 2594, z: 0
x: -4871, y: 2655, z: 0
x: -4928, y: 2697, z: 0
x: -4979, y: 2736, z: 0
x: -5051, y: 2790, z: 0
x: -5132, y: 2852, z: 0
x: -5202, y: 2904, z: 0
x: -5424, y: 3065, z: 2336
x: -5527, y: 3148, z: 2333
x: -5609, y: 3216, z: 2331
x: -5684, y: 3280, z: 2328
x: -5780, y: 3367, z: 2325
x: -5872, y: 3458, z: 2321
x: -5925, y: 3518, z: 2319
x: -5992, y: 3608, z: 2315
x: -6044, y: 3701, z: 2313
x: -6080, y: 3822, z: 2310
x: -6078, y: 3933, z: 2306
x: -6053, y: 4000, z: 2304
x: -6001, y: 4063, z: 2302
x: -5937, y: 4108, z: 2301
x: -5882, y: 4131, z: 2301
x: -5762, y: 4157, z: 2299
x: -5656, y: 4163, z: 2297
x: -5588, y: 4162, z: 2295
x: -5523, y: 4159, z: 2294
x: -5461, y: 4153, z: 2292
x: -5396, y: 4146, z: 2291
x: -5341, y: 4138, z: 2289
x: -5259, y: 4125, z: 2287
x: -5182, y: 4110, z: 2285
x: -5115, y: 4096, z: 2284
x: -5055, y: 4082, z: 2282
x: -5000, y: 4068, z: 2281
x: -4895, y: 4039, z: 2278
x: -4812, y: 4012, z: 2277
x: -4735, y: 3986, z: 2275
x: -4581, y: 3925, z: 2272
x: -4489, y: 3884, z: 2270
x: -4412, y: 3846, z: 2269
x: -4355, y: 3817, z: 2268
x: -4272, y: 3769, z: 2267
x: -4181, y: 3713, z: 2265
x: -4097, y: 3657, z: 2264
x: -4027, y: 3608, z: 2263
x: -3895, y: 3511, z: 2262
x: -3826, y: 3458, z: 2261
x: -3749, y: 3396, z: 2260
x: -3603, y: 3274, z: 2258
x: -3514, y: 3198, z: 2257
x: -3415, y: 3112, z: 2255
x: -3282, y: 2996, z: 2254
x: -3218, y: 2940, z: 2253
x: -3153, y: 2883, z: 2252
x: -3088, y: 2826, z: 2251
x: -2976, y: 2728, z: 2249
x: -2881, y: 2646, z: 2248
x: -2742, y: 2530, z: 2246
x: -2642, y: 2450, z: 2245
x: -2579, y: 2403, z: 2244
x: -2518, y: 2360, z: 2242
x: -2440, y: 2309, z: 2240
x: -2357, y: 2262, z: 2238
x: -2215, y: 2200, z: 2234
x: -2160, y: 2184, z: 2231
x: -2100, y: 2172, z: 2229
x: -2013, y: 2168, z: 2226
x: -1936, y: 2178, z: 2222
x: -1875, y: 2196, z: 2219
x: -1741, y: 2279, z: 2208
x: -1677, y: 2356, z: 2199
x: -1630, y: 2448, z: 2193
x: -1605, y: 2544, z: 2188
x: -1598, y: 2611, z: 2183
x: -1600, y: 2674, z: 2178
x: -1607, y: 2739, z: 2173
x: -1621, y: 2804, z: 2168
x: -1649, y: 2892, z: 2160
x: -1689, y: 2988, z: 2152
x: -1738, y: 3086, z: 2144
x: -1801, y: 3199, z: 2135
x: -1859, y: 3296, z: 2128
x: -1986, y: 3547, z: 2108
x: -2028, y: 3669, z: 2100
x: -2045, y: 3727, z: 2096
x: -2059, y: 3788, z: 2092
x: -2078, y: 3903, z: 2086
x: -2084, y: 4029, z: 2079
x: -2080, y: 4116, z: 2075
x: -2073, y: 4180, z: 2072
x: -2062, y: 4244, z: 2070
x: -2026, y: 4371, z: 2063
x: -1976, y: 4490, z: 2058
x: -1889, y: 4658, z: 2051
x: -1799, y: 4822, z: 2046
x: -1692, y: 4998, z: 2043
x: -1607, y: 5138, z: 2042
x: -1560, y: 5220, z: 2042
x: -1514, y: 5304, z: 2042
x: -1415, y: 5486, z: 2043
x: -1367, y: 5574, z: 2044
x: -1301, y: 5693, z: 2045
x: -1246, y: 5794, z: 2047
x: -1162, y: 5948, z: 2050
x: -1116, y: 6032, z: 2053
x: -991, y: 6259, z: 2060
x: -888, y: 6447, z: 2068
x: -813, y: 6581, z: 2075
x: -719, y: 6750, z: 2084
x: -610, y: 6943, z: 2095
x: -564, y: 7023, z: 2100
x: -470, y: 7167, z: 2109
x: -314, y: 7387, z: 2126
x: -146, y: 7608, z: 2143
x: -34, y: 7758, z: 2153
x: 85, y: 7961, z: 2163
x: 138, y: 8092, z: 2166
x: 162, y: 8174, z: 2168
x: 183, y: 8309, z: 2171
x: 188, y: 8391, z: 2173
