Track
x: 1150, y: -1072, z: 189
x: 1105, y: -770, z: 188
x: 1076, y: -597, z: 188
x: 1052, y: -451, z: 188
x: 1020, y: -257, z: 188
x: 996, y: -106, z: 188
x: 957, y: 139, z: 188
x: 935, y: 279, z: 188
x: 911, y: 436, z: 188
x: 888, y: 594, z: 188
x: 846, y: 883, z: 188
x: 808, y: 1159, z: 188
x: 784, y: 1340, z: 188
x: 748, y: 1621, z: 188
x: 713, y: 1904, z: 188
x: 692, y: 2072, z: 188
x: 680, y: 2173, z: 188
x: 649, y: 2461, z: 187
x: 622, y: 2697, z: 187
x: 601, y: 2869, z: 187
x: 572, y: 3045, z: 187
x: 547, y: 3170, z: 187
x: 526, y: 3251, z: 187
x: 473, y: 3384, z: 186
x: 434, y: 3447, z: 186
x: 346, y: 3539, z: 187
x: 294, y: 3572, z: 187
x: 221, y: 3602, z: 187
x: 135, y: 3626, z: 187
x: 63, y: 3640, z: 188
x: -87, y: 3672, z: 187
x: -237, y: 3731, z: 186
x: -241, y: 3670, z: 0
x: -298, y: 3724, z: 0
x: -376, y: 3808, z: 184
x: -447, y: 3895, z: 185
x: -560, y: 3989, z: 184
x: -631, y: 4038, z: 183
x: -709, y: 4075, z: 183
x: -783, y: 4087, z: 182
x: -850, y: 4081, z: 183
x: -914, y: 4058, z: 182
x: -988, y: 4005, z: 183
x: -1043, y: 3932, z: 183
x: -1068, y: 3880, z: 183
x: -1095, y: 3809, z: 184
x: -1111, y: 3753, z: 184
x: -1127, y: 3681, z: 184
x: -1137, y: 3623, z: 184
x: -1148, y: 3535, z: 184
x: -1152, y: 3480, z: 183
x: -1153, y: 3398, z: 182
x: -1151, y: 3319, z: 181
x: -1146, y: 3257, z: 180
x: -1140, y: 3205, z: 179
x: -1129, y: 3128, z: 178
x: -1104, y: 3012, z: 177
x: -1079, y: 2919, z: 177
x: -1005, y: 2707, z: 177
x: -974, y: 2628, z: 177
x: -937, y: 2536, z: 178
x: -882, y: 2406, z: 180
x: -844, y: 2315, z: 181
x: -781, y: 2165, z: 184
x: -753, y: 2097, z: 185
x: -705, y: 1978, z: 187
x: -639, y: 1801, z: 189
x: -610, y: 1716, z: 189
x: -568, y: 1584, z: 190
x: -537, y: 1471, z: 190
x: -501, y: 1318, z: 190
x: -482, y: 1208, z: 189
x: -461, y: 1029, z: 189
x: -455, y: 866, z: 189
x: -458, y: 780, z: 188
x: -477, y: 628, z: 188
x: -497, y: 556, z: 188
x: -530, y: 481, z: 187
x: -745, y: 282, z: 187
x: -824, y: 249, z: 187
x: -899, y: 225, z: 187
x: -986, y: 203, z: 187
x: -1076, y: 185, z: 187
x: -1180, y: 171, z: 188
x: -1355, y: 158, z: 188
x: -1472, y: 155, z: 188
x: -1583, y: 157, z: 188
x: -1666, y: 161, z: 188
x: -1892, y: 181, z: 188
x: -2027, y: 193, z: 188
x: -2117, y: 202, z: 188
x: -2363, y: 224, z: 189
x: -2460, y: 232, z: 189
x: -2660, y: 249, z: 189
x: -2776, y: 258, z: 190
x: -2960, y: 273, z: 190
x: -3161, y: 288, z: 189
x: -3258, y: 294, z: 189
x: -3552, y: 318, z: 188
x: -3778, y: 336, z: 188
x: -3895, y: 346, z: 188
x: -4058, y: 359, z: 188
x: -4118, y: 363, z: 188
x: -4436, y: 390, z: 188
x: -4697, y: 416, z: 188
x: -4820, y: 432, z: 187
x: -4944, y: 451, z: 187
x: -5221, y: 512, z: 190
x: -5462, y: 593, z: 190
x: -5625, y: 665, z: 191
x: -5870, y: 793, z: 191
x: -6027, y: 884, z: 190
x: -6182, y: 977, z: 190
x: -6338, y: 1071, z: 190
x: -6611, y: 1238, z: 190
x: -6890, y: 1409, z: 190
x: -7097, y: 1544, z: 190
x: -7230, y: 1630, z: 190
x: -7358, y: 1715, z: 190
x: -7472, y: 1791, z: 190
x: -7575, y: 1860, z: 191
x: -7722, y: 1960, z: 191
x: -7907, y: 2056, z: 191
