Track
x: -1475, y: 4241, z: 0
x: -1412, y: 4220, z: 0
x: -311, y: 3688, z: 0
x: -213, y: 3619, z: 0
x: -155, y: 3578, z: 0
x: -84, y: 3527, z: 0
x: -29, y: 3487, z: 0
x: 393, y: 3160, z: 0
x: 452, y: 3109, z: 0
x: 514, y: 3053, z: 0
x: 576, y: 2995, z: 0
x: 654, y: 2923, z: 0
x: 153, y: 3352, z: 0
x: 214, y: 3305, z: 0
x: 269, y: 3262, z: 0
x: 321, y: 3220, z: 0
x: 26, y: 3447, z: 0
x: 77, y: 3410, z: 0
x: -618, y: 3875, z: 0
x: -555, y: 3842, z: 0
x: -496, y: 3806, z: 0
x: -822, y: 3981, z: 0
x: -758, y: 3943, z: 0
x: -704, y: 3918, z: 0
x: -1076, y: 4079, z: 0
x: -1020, y: 4056, z: 0
x: -963, y: 4032, z: 0
x: -888, y: 4000, z: 0
x: -416, y: 3757, z: 0
x: 722, y: 2853, z: 4019
x: 865, y: 2710, z: 4008
x: 934, y: 2639, z: 4004
x: 991, y: 2581, z: 3999
x: 1131, y: 2435, z: 3989
x: 1263, y: 2298, z: 3979
x: 1337, y: 2216, z: 3988
x: 1522, y: 2023, z: 3961
x: 1603, y: 1936, z: 3953
x: 1731, y: 1799, z: 3944
x: 1823, y: 1700, z: 3938
x: 1945, y: 1568, z: 3929
x: 2096, y: 1402, z: 3920
x: 2209, y: 1275, z: 3912
x: 2294, y: 1177, z: 3907
x: 2380, y: 1080, z: 3902
x: 2497, y: 950, z: 3895
x: 2577, y: 864, z: 3890
x: 2732, y: 709, z: 3886
x: 2945, y: 542, z: 3888
x: 3063, y: 480, z: 3892
x: 3256, y: 390, z: 3906
x: 3440, y: 273, z: 3932
x: 3560, y: 168, z: 3953
x: 3661, y: 48, z: 3975
x: 3752, y: -102, z: 4002
x: 3815, y: -234, z: 4023
x: 3926, y: -557, z: 4067
x: 3971, y: -813, z: 4094
x: 3992, y: -943, z: 4106
x: 4003, y: -999, z: 4110
x: 4116, y: -1310, z: 4133
x: 4189, y: -1446, z: 4142
x: 4272, y: -1587, z: 4149
x: 4328, y: -1676, z: 4154
x: 4432, y: -1840, z: 4162
x: 4507, y: -1952, z: 4168
x: 4669, y: -2170, z: 4181
x: 4743, y: -2267, z: 4186
x: 4844, y: -2401, z: 4193
x: 4980, y: -2586, z: 4204
x: 5099, y: -2749, z: 4213
x: 5236, y: -2937, z: 4223
x: 5440, y: -3232, z: 4240
x: 5534, y: -3377, z: 4247
x: 5649, y: -3564, z: 4257
x: 5771, y: -3785, z: 4269
x: 5877, y: -3999, z: 4279
x: 5942, y: -4144, z: 4287
x: 5991, y: -4261, z: 4293
x: 6047, y: -4411, z: 4301
x: 6115, y: -4607, z: 4311
x: 6165, y: -4760, z: 4318
x: 6211, y: -4897, z: 4323
x: 6247, y: -5005, z: 4329
x: 6323, y: -5236, z: 4339
x: 6416, y: -5514, z: 4352
x: 6457, y: -5639, z: 4358
x: 6530, y: -5857, z: 4369
x: 6587, y: -6029, z: 4377
x: 6640, y: -6189, z: 4385
x: 6719, y: -6425, z: 4396
x: 6830, y: -6757, z: 4412
x: 6931, y: -7059, z: 4426
x: 7012, y: -7298, z: 4438
x: 7065, y: -7458, z: 4446
x: 7114, y: -7602, z: 4453
x: 7201, y: -7859, z: 4465
x: 7249, y: -8004, z: 4472
x: 7293, y: -8133, z: 4479
x: 7363, y: -8342, z: 4489
x: 7407, y: -8471, z: 4495
x: 7477, y: -8679, z: 4505
x: 7519, y: -8804, z: 4511
x: 7576, y: -8973, z: 4518
x: 7607, y: -9064, z: 4523
x: 7706, y: -9360, z: 4537
x: 7756, y: -9507, z: 4544
x: 7790, y: -9608, z: 4549
x: 7856, y: -9806, z: 4559
